medal;country;athlete_name;games;sport;event;sex
3;Bulgaria;Mincho PASHEV;USSR;Weightlifting;60 - 67.5kg (lightweight);Men's
3;Bulgaria;Nedelcho KOLEV;USSR;Weightlifting;67.5 - 75kg (middleweight);Men's
3;Bulgaria;Nermedin SELIMOV;USSR;Wrestling Freestyle;48 - 52kg (flyweight);Men's
3;Bulgaria;Mladen MLADENOV;USSR;Wrestling Greco-Roman;48 - 52kg (flyweight);Men's
3;Bulgaria;Pavel PAVLOV;USSR;Wrestling Greco-Roman;74 - 82kg (middleweight);Men's
3;Bulgaria;Ivan LEBANOV;United States;Cross Country Skiing;30km;Men's
1;Bulgaria;Kristo Gantchev MARKOV;Korea Republic;Athletics;triple jump;Men's
1;Bulgaria;Yordanka DONKOVA;Korea Republic;Athletics;100m hurdles;Women's
1;Bulgaria;Ivailo Marinov KHRISTOV;Korea Republic;Boxing;- 48kg (light-flyweight);Men's
1;Bulgaria;Vania GUECHEVA;Korea Republic;Canoe Sprint;K-1 500m (kayak single);Women's
1;Bulgaria;Lubomir GERASKOV;Korea Republic;Gymnastics Artistic;pommel horse;Men's
1;Bulgaria;Tanyu KIRIAKOV;Korea Republic;Shooting;10m air pistol;Men's
1;Bulgaria;Tania BOGOMILOVA-DANGALAKOVA;Korea Republic;Swimming;100m breaststroke;Women's
1;Bulgaria;Sevdalin MARINOV;Korea Republic;Weightlifting;- 52kg (flyweight);Men's
1;Bulgaria;Borislav GIDIKOV;Korea Republic;Weightlifting;67.5 - 75kg (middleweight);Men's
1;Bulgaria;Atanas Slavov KOMCHEV;Korea Republic;Wrestling Greco-Roman;82 - 90kg (light-heavyweight);Men's
2;Bulgaria;Stefka KOSTADINOVA;Korea Republic;Athletics;high jump;Women's
2;Bulgaria;Aleksandar KRISTOV;Korea Republic;Boxing;51 - 54kg (bantamweight);Men's
2;Bulgaria;Vania GUECHEVA/Diana PALIISKA;Korea Republic;Canoe Sprint;K-2 500m (kayak double);Women's
2;Bulgaria;Adriana DUNAVSKA;Korea Republic;Gymnastics Rhythmic;individual all-round;Women's
2;Bulgaria;Radka STOYANOVA/Lalka Stoyanova BERBEROVA;Korea Republic;Rowing;pair without coxswain (2-);Women's
2;Bulgaria;Vessela Nikolaeva LETCHEVA;Korea Republic;Shooting;50m rifle 3 positions;Women's
2;Bulgaria;Antoaneta FRENKEVA;Korea Republic;Swimming;100m breaststroke;Women's
2;Bulgaria;Stefan TOPUROV;Korea Republic;Weightlifting;56 - 60kg (featherweight);Men's
2;Bulgaria;Ivan TZONOV;Korea Republic;Wrestling Freestyle;- 48kg (light-flyweight);Men's
2;Bulgaria;Stoyan BALOV;Korea Republic;Wrestling Greco-Roman;52 - 57kg (bantamweight);Men's
2;Bulgaria;Jivko VANGELOV;Korea Republic;Wrestling Greco-Roman;57 - 62kg (featherweight);Men's
2;Bulgaria;Rangel Ivanov GEROVSKI;Korea Republic;Wrestling Greco-Roman;100 - 130kg (super heavyweight);Men's
3;Bulgaria;Tzvetanka Pavlova KHRISTOVA;Korea Republic;Athletics;discus throw;Women's
3;Bulgaria;Martin Guerguiev MARINOV;Korea Republic;Canoe Sprint;C-1 500m (canoe single);Men's
3;Bulgaria;Nikolai Petkov BUKHALOV;Korea Republic;Canoe Sprint;C-1 1000m (canoe single);Men's
3;Bulgaria;Vania GUECHEVA/Ogniana PETKOVA/Diana PALIISKA/Borislava IVANOVA-MILKOVA;Korea Republic;Canoe Sprint;K-4 500m (kayak four);Women's
3;Bulgaria;Diana DOUDEVA;Korea Republic;Gymnastics Artistic;floor exercises;Women's
3;Bulgaria;Magdalena GEORGIEVA;Korea Republic;Rowing;single sculls (1x);Women's
3;Bulgaria;Violeta NINOVA/Stefka MADINA;Korea Republic;Rowing;double sculls (2x);Women's
3;Bulgaria;Antoaneta FRENKEVA;Korea Republic;Swimming;200m breaststroke;Women's
3;Bulgaria;Manuela MALEEVA-FRAGNIERE;Korea Republic;Tennis;singles;Women's
3;Bulgaria;Aleksander VARBANOV;Korea Republic;Weightlifting;67.5 - 75kg (middleweight);Men's
3;Bulgaria;Simeon CHTEREV;Korea Republic;Wrestling Freestyle;57 - 62kg (featherweight);Men's
3;Bulgaria;Sukra SOFIADI-RAKHMAT;Korea Republic;Wrestling Freestyle;68 - 74kg (welterweight);Men's
3;Bulgaria;Bratan Tzenov TSENOV;Korea Republic;Wrestling Greco-Roman;- 48kg (light-flyweight);Men's
1;Bulgaria;Nikolai Petkov BUKHALOV;Spain;Canoe Sprint;C-1 500m (canoe single);Men's
1;Bulgaria;Nikolai Petkov BUKHALOV;Spain;Canoe Sprint;C-1 1000m (canoe single);Men's
1;Bulgaria;Ivan Ivanov IVANOV;Spain;Weightlifting;- 52kg (flyweight);Men's
2;Bulgaria;Tzvetanka Pavlova KHRISTOVA;Spain;Athletics;discus throw;Women's
2;Bulgaria;Daniel Petrov BOJINOV;Spain;Boxing;- 48kg (light-flyweight);Men's
2;Bulgaria;Vessela Nikolaeva LETCHEVA;Spain;Shooting;10m air rifle;Women's
2;Bulgaria;Nonka Detcheva MATOVA;Spain;Shooting;50m rifle 3 positions;Women's
2;Bulgaria;Nikolay PECHALOV;Spain;Weightlifting;56 - 60kg (featherweight);Men's
2;Bulgaria;Yoto Vassilev YOTOV;Spain;Weightlifting;60 - 67.5kg (lightweight);Men's
2;Bulgaria;Valentin Dotchev GETZOV;Spain;Wrestling Freestyle;62 - 68kg (lightweight);Men's
3;Bulgaria;Yordanka DONKOVA;Spain;Athletics;100m hurdles;Women's
3;Bulgaria;Svilen Aldinov ROUSSINOV;Spain;Boxing;+ 91kg (super heavyweight);Men's
3;Bulgaria;Martin Guerguiev MARINOV/Blagovest Nikolov STOYANOV;Spain;Canoe Sprint;C-2 500m (canoe double);Men's
3;Bulgaria;Maria GROZDEVA;Spain;Shooting;10m air pistol;Women's
3;Bulgaria;Stefan BOTEV;Spain;Weightlifting;100 - 110kg (heavyweight);Men's
3;Bulgaria;Valentin Yordanov DIMITROV;Spain;Wrestling Freestyle;48 - 52kg (flyweight);Men's
1;Bulgaria;Костадинова;United States;Athletics;high jump;Women's
1;Bulgaria;Петров;United States;Boxing;- 48kg (light-flyweight);Men's
1;Bulgaria;Димитров-Иорданов;United States;Wrestling Freestyle;48 - 52kg (flyweight);Men's
2;Bulgaria;Тодоров;United States;Boxing;54 - 57kg (featherweight);Men's
2;Bulgaria;Тончев;United States;Boxing;57 - 60kg (lightweight);Men's
2;Bulgaria;Дунев;United States;Gymnastics Artistic;horizontal bar;Men's
2;Bulgaria;Кевлян/Табакова/Ватачка/Талеева/Делчева/Колева;United States;Gymnastics Rhythmic;group competition;Women's
2;Bulgaria;Милев;United States;Shooting;25m rapid fire pistol;Men's
2;Bulgaria;Йоргова;United States;Shooting;25m pistol;Women's
2;Bulgaria;Йотов;United States;Weightlifting;70 - 76kg (middleweight);Men's
3;Bulgaria;Кажанов/Душев;United States;Canoe Sprint;K-2 1000m (kayak double);Men's
3;Bulgaria;Кириаков;United States;Shooting;10m air pistol;Men's
3;Bulgaria;Гроздева;United States;Shooting;10m air pistol;Women's
3;Bulgaria;Минчев;United States;Weightlifting;- 54kg (flyweight);Men's
3;Bulgaria;Пешалов;United States;Weightlifting;54 - 59kg (bantamweight);Men's
1;Bulgaria;Дафовска;Japan;Biathlon;15km individual;Women's
1;Bulgaria;Тереса Маринова;Australia;Athletics;triple jump;Women's
1;Bulgaria;Тану Кириаков;Australia;Shooting;50m pistol;Men's
1;Bulgaria;Мария Гроздева;Australia;Shooting;25m pistol;Women's
1;Bulgaria;Галабин Боевски;Australia;Weightlifting;62 - 69kg (lightweight);Men's
1;Bulgaria;Армен Назарян;Australia;Wrestling Greco-Roman;54 - 58kg;Men's
2;Bulgaria;Петар Мерков;Australia;Canoe Sprint;K-1 500m (kayak single);Men's
2;Bulgaria;Петар Мерков;Australia;Canoe Sprint;K-1 1000m (kayak single);Men's
2;Bulgaria;Румяна Нейкова;Australia;Rowing;single sculls (1x);Women's
2;Bulgaria;Георгий Марков;Australia;Weightlifting;62 - 69kg (lightweight);Men's
2;Bulgaria;Алан Цагаев;Australia;Weightlifting;94 - 105kg (heavyweight);Men's
2;Bulgaria;Серафим Барзаков;Australia;Wrestling Freestyle;58 - 63kg;Men's
3;Bulgaria;Йордан Йовчев;Australia;Gymnastics Artistic;floor exercises;Men's
3;Bulgaria;Йордан Йовчев;Australia;Gymnastics Artistic;rings;Men's
2;Bulgaria;Раданова;United States;Short Track Speed Skating;500m;Women's
3;Bulgaria;Никульчина;United States;Biathlon;10km pursuit;Women's
3;Bulgaria;Раданова;United States;Short Track Speed Skating;1500m;Women's
1;Bulgaria;Мария Гроздева;Greece;Shooting;25m pistol;Women's
1;Bulgaria;Милен Добрев;Greece;Weightlifting;85 - 94kg (middle-heavyweight);Men's
2;Bulgaria;Йордан Йовчев;Greece;Gymnastics Artistic;rings;Men's
3;Bulgaria;Борис Георгиев;Greece;Boxing;60 - 64kg (light-welterweight);Men's
3;Bulgaria;Йордан Йовчев;Greece;Gymnastics Artistic;floor exercises;Men's
3;Bulgaria;;Greece;Gymnastics Rhythmic;group competition;Women's
3;Bulgaria;Георгий Георгиев;Greece;Judo;60 - 66kg (half-lightweight);Men's
3;Bulgaria;Иво Янакиев;Greece;Rowing;single sculls (1x);Men's
3;Bulgaria;Румяна Нейкова;Greece;Rowing;single sculls (1x);Women's
3;Bulgaria;Мария Гроздева;Greece;Shooting;10m air pistol;Women's
3;Bulgaria;Величко Чолаков;Greece;Weightlifting;+ 105kg (super heavyweight);Men's
3;Bulgaria;Армен Назарян;Greece;Wrestling Greco-Roman;55 - 60kg;Men's
2;Bulgaria;Evgenia RADANOVA;Italy;Short Track Speed Skating;500m;Women's
1;Bulgaria;Rumyana NEYKOVA;China;Rowing;single sculls (1x);Women's
2;Bulgaria;Stanka ZLATEVA;China;Wrestling Freestyle;63 - 72kg;Women's
3;Bulgaria;Radoslav VELIKOV;China;Wrestling Freestyle;- 55kg;Men's
3;Bulgaria;Kiril TERZIEV;China;Wrestling Freestyle;66 - 74kg;Men's
3;Bulgaria;Yavor YANAKIEV;China;Wrestling Greco-Roman;66 - 74kg;Men's
2;Bulgaria;Milka Maneva;Great Britain;Weightlifting;58 - 63kg (middleweight);Women's
2;Bulgaria;Stanka Zlateva HRISTOVA;Great Britain;Wrestling Freestyle;63 - 72kg;Women's
3;Bulgaria;Tervel PULEV;Great Britain;Boxing;81 - 91kg (heavyweight);Men's
2;Bulgaria;DEMIREVA Mirela;Brazil;Athletics;high jump;Women's
3;Bulgaria;Bulgaria;Brazil;Gymnastics Rhythmic;group competition;Women's
3;Bulgaria;YANKOVA Elitsa Atanasova;Brazil;Wrestling Freestyle;- 48kg;Women's
1;Bulgaria;KRASTEVA Stoyka Zhelyazkova;Japan;Boxing;48 - 51kg (flyweight);Women's
1;Bulgaria;KIRYAKOVA Stefani/TRAETS Laura/DYANKOVA Simona/RADUKANOVA Madlen/ZAFIROVA Erika;Japan;Gymnastics Rhythmic;group competition;Women's
1;Bulgaria;GORANOVA Ivet;Japan;Karate;Kumite - 55kg;Women's
2;Bulgaria;KOSTADINOVA Antoaneta;Japan;Shooting;10m air pistol;Women's
3;Bulgaria;NIKOLOVA Evelina Georgieva;Japan;Wrestling Freestyle;57kg;Women's
3;Bulgaria;YUSEIN Taybe Mustafa;Japan;Wrestling Freestyle;62kg;Women's
1;Burundi;Нионгабо;United States;Athletics;5000m;Men's
2;Burundi;NIYONSABA Francine;Brazil;Athletics;800m;Women's
2;Cameroon;Joseph BESSALA;Mexico;Boxing;63.5 - 67kg (welterweight);Men's
3;Cameroon;Martin NDONGO-EBANGA;United States;Boxing;57 - 60kg (lightweight);Men's
1;Cameroon;;Australia;Football;football;Men's
1;Cameroon;Франсуаз Мбанго Этоне;Greece;Athletics;triple jump;Women's
1;Cameroon;Francoise MBANGO ETONE;China;Athletics;triple jump;Women's
3;Cameroon;Madias Nzesso;Great Britain;Weightlifting;69 - 75kg (heavyweight);Women's
1;Canada;George ORTON;France;Athletics;2500m steeplechase;Men's
3;Canada;George ORTON;France;Athletics;400m hurdles;Men's
1;Canada;Etienne DESMARTEAU;United States;Athletics;56lb weight throw (25.4kg);Men's
1;Canada;Frederick STEEP/Gordon MACDONALD/Robert LANE/John GOURLEY/Albert JOHNSON/Thomas TAYLOR/Gordon MACDONALD/George DUCKER/George DUCKER/John Alexander FRASER/Frederick STEEP/Thomas TAYLOR/Alexander HALL/William TWAITS/Ernest LINTON/John Alexander FRASER/Robert LANE/Alexander HALL/William TWAITS/Ernest LINTON/John GOURLEY/Albert JOHNSON;United States;Football;football;Men's
1;Canada;George Seymour LYON;United States;Golf;individual;Men's
1;Canada;Jack FLETT/L.H. PENTLAND/George BRETZ/Sandy COWAN/W. BRENNAUGH/William F.L. ORRIS/George CLOUTIER/Hilliard LAIDLAW/George CATTANACH/H. LYLE/Benjamin JAMIESON/William Laurie BURNS/Elie BLANCHARD;United States;Lacrosse;lacrosse;Men's
2;Canada;Philip Ewing BOYD/William RICE/George M. STRANGE/Thomas Richardson LOUDON/Donald MACKENZIE/George Patrick REIFFENSTEIN/William WADSWORTH/Arthur B. BAILEY/Joseph George WRIGHT;United States;Rowing;eight with coxswain (8+);Men's
3;Canada;;United States;Lacrosse;lacrosse;Men's
1;Canada;Robert KERR;Great Britain;Athletics;200m;Men's
1;Canada;Walter Henry EWING;Great Britain;Shooting;Trap;Men's
1;Canada;Frank J. DIXON/A. MARA/Henry Frank HOOBIN/Thomas Patrick GORMAN/Ernest HAMILTON/Clarence D. MCKERROW/Richard Louis DUCKETT/Angus F. DILLON/D. MCLEOD/J. FYON/George H. CAMPBELL/Patrick BRENNAN/John BRODERICK/Alexander T. TURNBULL/George H. RENNIE;Great Britain;Lacrosse;lacrosse;Men's
2;Canada;J.Garfield MACDONALD;Great Britain;Athletics;triple jump;Men's
2;Canada;George BEATTIE;Great Britain;Shooting;Trap;Men's
2;Canada;Mylie E. FLETCHER/Donald MCMACKON/George BEATTIE/George L. VIVIAN/Walter Henry EWING/Arthur W. WESTOVER;Great Britain;Shooting;clay pigeons, team;Men's
3;Canada;Robert KERR;Great Britain;Athletics;100m;Men's
3;Canada;Calvin David BRICKER;Great Britain;Athletics;long jump;Men's
3;Canada;Edward Blake ARCHIBALD;Great Britain;Athletics;pole vault;Men's
3;Canada;Cornelius WALSH;Great Britain;Athletics;hammer throw;Men's
3;Canada;William ANDERSON/Walter ANDREWS/Frederick MCCARTHY/William MORTON;Great Britain;Cycling Track;1980 yards Pursuit, Team;Men's
3;Canada;Norman B. JACKES/Fred P. TOMS;Great Britain;Rowing;pair without coxswain (2-);Men's
3;Canada;Becher Gale/Geoffrey Taylor/Gordon Balfour/Charles Riddy;Great Britain;Rowing;four without coxswain (4-);Men's
3;Canada;Julius A. THOMSON/Gordon Bruce BALFOUR/Charles RIDDY/Goeffrey Barron TAYLOR/Joseph George WRIGHT/Walter Aiken LEWIS/Becher Robert GALE/Douglas Edwin KERTLAND/Irvine Geale ROBERTSON;Great Britain;Rowing;eight with coxswain (8+);Men's
3;Canada;Charles Robert CROWE/Dugald MCINNIS/Harry KERR/William Albert SMITH/Bruce M. WILLIAMS/William Merrill EASTCOTT;Great Britain;Shooting;rifle, team;Men's
3;Canada;Aubert COTE;Great Britain;Wrestling Freestyle;- 54kg (bantamweight);Men's
1;Canada;George GOULDING;Sweden;Athletics;10000m walk;Men's
1;Canada;George Ritchie HODGSON;Sweden;Swimming;400m freestyle;Men's
1;Canada;George Ritchie HODGSON;Sweden;Swimming;1500m freestyle;Men's
2;Canada;Calvin David BRICKER;Sweden;Athletics;long jump;Men's
2;Canada;Duncan GILLIS;Sweden;Athletics;hammer throw;Men's
3;Canada;William HAPPENNY;Sweden;Athletics;pole vault;Men's
3;Canada;Frank LUKEMAN;Sweden;Athletics;pentathlon;Men's
3;Canada;Everard Burnside BUTLER;Sweden;Rowing;single sculls (1x);Men's
1;Canada;Earl THOMSON;Belgium;Athletics;110m hurdles;Men's
1;Canada;Julius Gustav Albert SCHNEIDER;Belgium;Boxing;61.24 - 66.68kg (welterweight);Men's
1;Canada;Wally BYRON/Christian FRIDFINNSON/Haldor HALDERSON/Allan WOODMAN/Robert BENSON/Frank FREDERICKSON/Michael GOODMAN/Konrad JOHANSSON;Belgium;Ice Hockey;ice hockey;Men's
2;Canada;Clifford John GRAHAM;Belgium;Boxing;50.8 - 53.52kg (bantamweight);Men's
2;Canada;George Arthur PRUD'HOMME;Belgium;Boxing;66.68 - 72.57kg (middleweight);Men's
2;Canada;George VERNOT;Belgium;Swimming;1500m freestyle;Men's
3;Canada;Clarence NEWTON;Belgium;Boxing;57.15 - 61.24kg (lightweight);Men's
3;Canada;Montgomery Hart HERSCOVITCH;Belgium;Boxing;66.68 - 72.57kg (middleweight);Men's
3;Canada;George VERNOT;Belgium;Swimming;400m freestyle;Men's
2;Canada;George MACKAY/A. MARIACHER/Archibald BLACK/William WOOD;France;Rowing;four without coxswain (4-);Men's
2;Canada;William WALLACE/Harold LITTLE/Norman TAYLOR/Robert HUNTER/John SMITH/William LANGFORD/Ivor CAMPBELL/Warren SNYDER/Arthur BELL;France;Rowing;eight with coxswain (8+);Men's
2;Canada;George BEATTIE/W. BARNES/James MONTGOMERY/John BLACK/Samuel VANCE/S. R. NEWTON;France;Shooting;clay pigeons, team;Men's
3;Canada;Douglas LEWIS;France;Boxing;61.24 - 66.68kg (welterweight);Men's
1;Canada;Jack CAMERON/Reginald SMITH/Ernie COLLETT/Harry WATSON/Beattie RAMSAY/Albert MAC CAFFERY/Harold MCMUNN/Duncan MUNRO/Cyril SLATER;France;Ice Hockey;ice hockey;Men's
1;Canada;Percy WILLIAMS;Netherlands;Athletics;100m;Men's
1;Canada;Percy WILLIAMS;Netherlands;Athletics;200m;Men's
1;Canada;Florence BELL/Ethel SMITH/Fanny ROSENFELD/Jean THOMPSON/Myrtle COOK;Netherlands;Athletics;4x100m relay;Women's
1;Canada;Ethel CATHERWOOD;Netherlands;Athletics;high jump;Women's
2;Canada;James BALL;Netherlands;Athletics;400m;Men's
2;Canada;Fanny ROSENFELD;Netherlands;Athletics;100m;Women's
2;Canada;Joseph WRIGHT JR./John GUEST;Netherlands;Rowing;double sculls (2x);Men's
2;Canada;Donald Parker STOCKTON;Netherlands;Wrestling Freestyle;72 - 79kg (middleweight);Men's
3;Canada;Philip EDWARDS/Stanley GLOVER/James BALL/Alex WILSON;Netherlands;Athletics;4x400m relay;Men's
3;Canada;Ethel SMITH;Netherlands;Athletics;100m;Women's
3;Canada;Raymond SMILLIE;Netherlands;Boxing;61.24 - 66.68kg (welterweight);Men's
3;Canada;William ROSS/Athol MEECH/Herbert RICHARDSON/Edgar NORRIS/Jack MURDOCK/Frederick HEDGES/John HAND/Frank FIDDES/John DONNELLY;Netherlands;Rowing;eight with coxswain (8+);Men's
3;Canada;James THOMPSON/Garnet AULT/Walter SPENCE/F. Munroe BOURNE;Netherlands;Swimming;4x200m freestyle relay;Men's
3;Canada;James TRIFUNOV;Netherlands;Wrestling Freestyle;- 56kg (bantamweight);Men's
3;Canada;Maurice E. LETCHFORD;Netherlands;Wrestling Freestyle;66 - 72kg (welterweight);Men's
1;Canada;Lou HUDSON/John PORTER/Joe SULLIVAN/Charles DELAHAY/Hugh PLAXTON/Frank SULLIVAN/Frank FISHER/David TROTTIER/Herbert PLAXTON/Roger PLAXTON/Norbert MUELLER/Ross TAYLOR;Switzerland;Ice Hockey;ice hockey;Men's
1;Canada;Duncan MCNAUGHTON;United States;Athletics;high jump;Men's
1;Canada;Horace GWYNNE;United States;Boxing;50.8 - 53.52kg (bantamweight);Men's
2;Canada;Alex WILSON;United States;Athletics;800m;Men's
2;Canada;Hilda STRIKE;United States;Athletics;100m;Women's
2;Canada;Lillian PALMER/Mildred FRIZZELL/Mary FRIZZELL/Hilda STRIKE;United States;Athletics;4x100m relay;Women's
2;Canada;Harry JONES/Hubert WALLACE/George GYLES/Ronald MAITLAND/Peter GORDON/Ernest CRIBB;United States;Sailing;8m;Mixed
2;Canada;Daniel MACDONALD;United States;Wrestling Freestyle;66 - 72kg (welterweight);Men's
3;Canada;Alex WILSON;United States;Athletics;400m;Men's
3;Canada;Philip EDWARDS;United States;Athletics;800m;Men's
3;Canada;Philip EDWARDS;United States;Athletics;1500m;Men's
3;Canada;Raymond Gray LEWIS/Alex WILSON/Philip EDWARDS/James BALL;United States;Athletics;4x400m relay;Men's
3;Canada;Eva DAWES;United States;Athletics;high jump;Women's
3;Canada;Noël DE MILLE/Charles PRATT;United States;Rowing;double sculls (2x);Men's
3;Canada;Earl EASTWOOD/Albert TAYLOR/William THOBURN/Joseph HARRIS/Donald BOAL/Harry FRY/George MACDONALD/Cedric LIDDELL/Stanley STANYAR;United States;Rowing;eight with coxswain (8+);Men's
3;Canada;Kenneth GLASS/Gerald WILSON/Philip ROGERS/Gardner BOULTBEE;United States;Sailing;6m;Mixed
1;Canada;Roy HINKEL/Bill COCKBURN/Clifford CROWLEY/George GARBUTT/Alston WISE/Kenneth MOORE/Stanley WAGNER/Albert DUNCANSON/Harold SIMPSON/Hugh SUTHERLAND/Romeo RIVERS/Norman MALLOY/Walter MONSON/Vic LINDQUIST;United States;Ice Hockey;ice hockey;Men's
2;Canada;Alexander HURD;United States;Speed skating;1500m;Men's
3;Canada;Montgomery WILSON;United States;Figure skating;individual;Men's
3;Canada;Alexander HURD;United States;Speed skating;500m;Men's
3;Canada;William LOGAN;United States;Speed skating;1500m;Men's
3;Canada;William LOGAN;United States;Speed skating;5000m;Men's
3;Canada;Frank STACK;United States;Speed skating;10000m;Men's
1;Canada;Francis AMYOT;Germany;Canoe Sprint;C-1 1000m (canoe single);Men's
2;Canada;John LOARING;Germany;Athletics;400m hurdles;Men's
2;Canada;Irving MERETSKY/Douglas PEDEN/Edward John DAWSON/Malcolm WISEMAN/Arthur CHAPMAN/Charles CHAPMAN/Jan ALLISON/James STEWART/Gordon AITCHISON;Germany;Basketball;basketball;Men's
2;Canada;Harvey CHARTERS/Frank Warren SAKER;Germany;Canoe Sprint;C-2 10000m;Men's
3;Canada;Philip EDWARDS;Germany;Athletics;800m;Men's
3;Canada;Elizabeth TAYLOR;Germany;Athletics;80m hurdles;Women's
3;Canada;Hilda CAMERON/Aileen MEAGHER/Dorothy BROOKSHAW/Mildred Jeanette DOLSON-CAVILL;Germany;Athletics;4x100m relay;Women's
3;Canada;Harvey CHARTERS/Frank Warren SAKER;Germany;Canoe Sprint;C-2 1000m (canoe double);Men's
3;Canada;Joseph SCHLEIMER;Germany;Wrestling Freestyle;66 - 72kg (welterweight);Men's
2;Canada;Francis MOORE/Raymond MILTON/David John NEVILLE/Arthur NASH/Ralph ST.GERMAIN/Hugh FARQUHARSON/William THOMSON/James HAGGARTY/Kenneth FARMER-HORN/Herman MURRAY/Walter KITCHEN/Alexander SINCLAIR/Maxwell DEACON;Germany;Ice Hockey;ice hockey;Men's
2;Canada;Douglas BENNETT;Great Britain;Canoe Sprint;C-1 1000m (canoe single);Men's
3;Canada;Nancy MACKAY/Diane FOSTER/Viola MYERS/Patricia JONES;Great Britain;Athletics;4x100m relay;Women's
3;Canada;Norman LANE;Great Britain;Canoe Sprint;C-1 10000m;Men's
1;Canada;Barbara Ann SCOTT;Switzerland;Figure skating;individual;Women's
1;Canada;R.A. FORBES/Henri-André LAPERRIERE/Albert Roméo RENAUD/Bernard Frank DUNSTER/H. BROOKS/Jean Orval GRAVELLE/Murray Albert DOWEY/Thomas Edward HIBBERD/A. GILPIN/Walter Edwin HALDER/Ross KING/Patrick GUZZO/Reginald John SCHROETER/Irving TAYLOR/John Howard LECOMPTE/J. LEICHNITZ/George Edward MARA;Switzerland;Ice Hockey;ice hockey;Men's
3;Canada;Wallace DIESTELMEYER/Suzanne MORROW;Switzerland;Figure skating;pairs;Mixed
1;Canada;George GENEREUX;Finland;Shooting;Trap;Men's
2;Canada;Donald HAWGOOD/Kenneth Ralph LANE;Finland;Canoe Sprint;C-2 10000m;Men's
2;Canada;Gérard GRATTON;Finland;Weightlifting;67.5 - 75kg (middleweight);Men's
1;Canada;Donald Valentine GAUF/Robert WATT/David MILLER/George ABEL/Billy DAWE/Al PURVIS/Robert Roderick MEYERS/Eric PATERSON/Gordon ROBERTSON/Louis SECCO/Francis Cornelius SULLIVAN/Billy GIBSON/Bruce DICKSON/Thomas Allen POLLOCK/John Francis DAVIES/Ralph HANSCH;Norway;Ice Hockey;ice hockey;Men's
3;Canada;Gordon AUDLEY;Norway;Speed skating;500m;Men's
1;Canada;Walter D'HONDT/Archibald MCKINNON/Lorne LOOMER/Donald ARNOLD;Australia / Sweden;Rowing;four without coxswain (4-);Men's
1;Canada;Gerald OUELLETTE;Australia / Sweden;Shooting;50m rifle prone;Men's
2;Canada;Donald PRETTY/Carlton OGAWA/Richard MCCLURE/Lawrence WEST/David HELLIWELL/Douglas MCDONALD/William MCKERLICH/Robert WILSON/Philip KUEBER;Australia / Sweden;Rowing;eight with coxswain (8+);Men's
3;Canada;Irene MACDONALD;Australia / Sweden;Diving;3m springboard;Women's
3;Canada;James ELDER/Brian HERBINSON/John RUMBLE;Australia / Sweden;Equestrian Eventing;team;Mixed
3;Canada;Gilmour BOA;Australia / Sweden;Shooting;50m rifle prone;Men's
2;Canada;Frances DAFOE/Norris BOWDEN;Italy;Figure skating;pairs;Mixed
3;Canada;Lucille WHEELER;Italy;Alpine Skiing;downhill;Women's
3;Canada;Arthur HURST/Charles BROOKER/George SCHOLES/Alfred HORNE/Byrle KLINCK/James LOGAN/Denis BRODEUR/Paul KNOX/Jack MACKENZIE/Gerry THEBERGE/Kenneth LAUFMAN/Donald ROPE/William COLVIN/Robert WHITE/Howard Stewart LEE/Keith WOODALL/Floyd MARTIN;Italy;Ice Hockey;ice hockey;Men's
2;Canada;Walter D'HONDT/Nelson KUHN/Lorne LOOMER/Donald ARNOLD/Glen MERVYN/Sohen BILN/William MCKERLICH/John LECKY/Archibald MCKINNON;Italy;Rowing;eight with coxswain (8+);Men's
1;Canada;Anne HEGGTVEIT;United States;Alpine Skiing;slalom;Women's
1;Canada;Barbara WAGNER/Robert PAUL;United States;Figure skating;pairs;Mixed
2;Canada;Donald ROPE/Robert FORHAN/Robert ROUSSEAU/Fred ETCHER/Harold HURLEY/Robert MCKNIGHT/Clifford PENNINGTON/Kenneth LAUFMAN/James CONNELLY/Darryl SLY/George SAMOLENKO/Floyd MARTIN/Jack DOUGLAS/Maurice BENOIT/Robert ATTERSLEY/Don HEAD/Harry SINDEN;United States;Ice Hockey;ice hockey;Men's
3;Canada;Donald JACKSON;United States;Figure skating;individual;Men's
1;Canada;George HUNGERFORD/Roger JACKSON;Japan;Rowing;pair without coxswain (2-);Men's
2;Canada;William CROTHERS;Japan;Athletics;800m;Men's
2;Canada;Douglas ROGERS;Japan;Judo;+ 80kg (heavyweight);Men's
3;Canada;Harry JEROME;Japan;Athletics;100m;Men's
1;Canada;Victor EMERY/Peter KIRBY/John EMERY/Douglas ANAKIN;Austria;Bobsleigh;four-man;Men's
2;Canada;Guy REVELL/Debbi WILKES;Austria;Figure skating;pairs;Mixed
3;Canada;Petra BURKA;Austria;Figure skating;individual;Women's
1;Canada;Jim DAY/Thomas GAYFORD/James ELDER;Mexico;Equestrian Jumping;team;Mixed
2;Canada;Ralph HUTTON;Mexico;Swimming;400m freestyle;Men's
2;Canada;Elaine TANNER;Mexico;Swimming;100m backstroke;Women's
2;Canada;Elaine TANNER;Mexico;Swimming;200m backstroke;Women's
3;Canada;Marilyn CORSON/Marion LAY/Elaine TANNER/Angela COUGHLAW;Mexico;Swimming;4x100m freestyle relay;Women's
