medal;country;athlete_name;games;sport;event;sex
2;Argentina;Alberto DEMIDDI;Germany;Rowing;single sculls (1x);Men's
2;Argentina;Gabriela SABATINI;Korea Republic;Tennis;singles;Women's
3;Argentina;Daniel Jorge CASTELLANI/Hugo Nestor CONTE/Raul Nicolas QUIROGA/Esteban DE PALMA/Alejandro DIZ/Carlos WEBER/Claudio F. ZULIANELLO/Esteban Eduardo MARTINEZ/Waldo Ariel KANTOR/Jon Emili URIARTE/Juan Carlos CUMINETTI/Daniel M. COLLA;Korea Republic;Volleyball;volleyball;Men's
3;Argentina;Javier FRANA/Christian Carlos MINIUSSI;Spain;Tennis;doubles;Men's
2;Argentina;;United States;Football;football;Men's
2;Argentina;Эспиноса;United States;Sailing;board (Mistral) - Windsurfer;Men's
3;Argentina;Чакон;United States;Boxing;54 - 57kg (featherweight);Men's
2;Argentina;;Australia;Hockey;hockey;Women's
2;Argentina;Карлос Эспинола;Australia;Sailing;board (Mistral) - Windsurfer;Men's
3;Argentina;;Australia;Sailing;470 - Two Person Dinghy;Men's
3;Argentina;Серена Амато;Australia;Sailing;single-handed dinghy (Europe);Women's
1;Argentina;;Greece;Basketball;basketball;Men's
1;Argentina;;Greece;Football;football;Men's
3;Argentina;;Greece;Hockey;hockey;Women's
3;Argentina;Сантьяго Ланге/Карлос Эспинола;Greece;Sailing;Tornado - Multihull;Mixed
3;Argentina;Джорджина Бардаш;Greece;Swimming;400m individual medley;Women's
3;Argentina;Паола Суарес/Патрисия Тарабини;Greece;Tennis;doubles;Women's
1;Argentina;Walter Fernando PEREZ/Juan CURUCHET;China;Cycling Track;Madison;Men's
1;Argentina;Sergio AGUERO/Javier MASCHERANO/Pablo ZABALETA/Lautaro ACOSTA/Nicolas PAREJA/Jose SOSA/Ezequiel LAVEZZI/Lionel MESSI/Fernando GAGO/Luciano MONZON/Ever BANEGA/Juan RIQUELME/Sergio ROMERO/Federico FAZIO/Angel DI MARIA/Ezequiel GARAY/Nicolas NAVARRO/Diego BUONANOTTE;China;Football;football;Men's
3;Argentina;Manu GINOBILI/Alfredo Paolo QUINTEROS/Fabricio OBERTO/Leonardo GUTIERREZ/Guillermo Federico KAMMERICHS/Juan Pedro GUTIERREZ LLANAS/Antonio Alejandro PORTA PERNIGOTTI/Roman Javier GONZALEZ/Luis SCOLA/Carlos DELFINO/Pablo PRIGIONI/Andres Marcelo NOCIONI;China;Basketball;basketball;Men's
3;Argentina;Marine RUSSO/Maria DE LA PAZ HERNÁNDEZ/Paola VUKOJICIC/Mercedes MARGALOT/Carla REBECCHI/Claudia BURKART/Mariana GONZALEZ OLIVA/Agustina Soledad GARCIA/Mariana ROSSI/Luciana AYMAR/Magdalena AICEGA/Noel BARRIONUEVO/Belen SUCCI/Giselle KANEVSKY/Rosario LUCHETTI/Alejandra GULLA;China;Hockey;hockey;Women's
3;Argentina;Paula Belen PARETO;China;Judo;- 48kg (extra-lightweight);Women's
3;Argentina;Carlos ESPINOLA/Santiago LANGE;China;Sailing;Tornado - Multihull;Mixed
1;Argentina;Sebastian Eduardo CRISMANICH;Great Britain;Taekwondo;68 - 80 kg;Men's
2;Argentina;Sofia MACCARI/Laura DEL COLLE/Macarena RODRIGUEZ PEREZ/Josefina SRUOGA/Martina CAVALLERO/Rosario LUCHETTI/Mariela SCARONE/Maria Silvina D'ELIA/Carla REBECCHI/Luciana AYMAR/Florencia HABIF/Noel BARRIONUEVO/Daniela SRUOGA/Rocio SANCHEZ MOCCIA/Florencia MUTIO/Delfina MERINO;Great Britain;Hockey;hockey;Women's
3;Argentina;Lucas CALABRESE/Juan DE LA FUENTE;Great Britain;Sailing;470 - Two Person Dinghy;Men's
